pisode: 0, steps: 0, FPS: 1.0
Episode: 1, steps: 100, FPS: 8.588288601082215
Episode: 2, steps: 200, FPS: 8.358260232909977
Episode: 3, steps: 300, FPS: 8.858573200869838
Episode: 4, steps: 400, FPS: 8.820287176466747
Episode: 5, steps: 500, FPS: 7.473682984855842
Episode: 6, steps: 600, FPS: 8.854124001463646
Episode: 7, steps: 700, FPS: 8.93703357829138
Episode: 8, steps: 800, FPS: 8.405649664063475
Episode: 9, steps: 900, FPS: 7.574860668063034
Episode: 10, steps: 1000, FPS: 7.379140806995073
Episode: 11, steps: 1100, FPS: 8.074829711276864
Episode: 12, steps: 1200, FPS: 8.188239034391536
Episode: 13, steps: 1300, FPS: 7.9675995656293965
Episode: 14, steps: 1400, FPS: 8.42086223686365
Episode: 15, steps: 1500, FPS: 8.794944721411147
Episode: 16, steps: 1600, FPS: 7.964475696858974
Episode: 17, steps: 1696, FPS: 9.009276966348565
Episode: 18, steps: 1796, FPS: 8.959137401276264
Episode: 19, steps: 1896, FPS: 8.856531161349041
Episode: 20, steps: 1995, FPS: 8.820207384342163
Episode: 21, steps: 2095, FPS: 7.997415452510743
Episode: 22, steps: 2195, FPS: 9.01858375617011
Episode: 23, steps: 2295, FPS: 8.051143292604703
Episode: 24, steps: 2395, FPS: 8.849152596826247
Episode: 25, steps: 2495, FPS: 9.02057712995432
Episode: 26, steps: 2595, FPS: 8.960270603005217
Episode: 27, steps: 2695, FPS: 8.868184119310564
Episode: 28, steps: 2795, FPS: 8.66800811070357
Episode: 29, steps: 2895, FPS: 9.251558980228413
Episode: 30, steps: 2995, FPS: 9.218810438470978
Episode: 31, steps: 3095, FPS: 9.249269162577736
Episode: 32, steps: 3195, FPS: 8.67811134092744
Episode: 33, steps: 3295, FPS: 8.759683093312852
Episode: 34, steps: 3332, FPS: 7.253687633807711
Episode: 35, steps: 3432, FPS: 8.02607678669783
Episode: 36, steps: 3484, FPS: 8.05151331705535
Episode: 37, steps: 3584, FPS: 8.610708348412034
Episode: 38, steps: 3684, FPS: 8.806501063932092
Episode: 39, steps: 3777, FPS: 8.798795293625307
Episode: 40, steps: 3877, FPS: 8.371041741871888
Episode: 41, steps: 3977, FPS: 9.101255988168713
Episode: 42, steps: 4077, FPS: 9.169321033191483
Episode: 43, steps: 4177, FPS: 8.805098761112125
Episode: 44, steps: 4277, FPS: 9.128124546556258
Episode: 45, steps: 4377, FPS: 8.877799170200516
Episode: 46, steps: 4477, FPS: 9.080324461627749
Episode: 47, steps: 4577, FPS: 8.465826902681062
Episode: 48, steps: 4677, FPS: 9.128511058375988
Episode: 49, steps: 4777, FPS: 8.901406388521503
Episode: 50, steps: 4877, FPS: 8.783217254142416
Episode: 51, steps: 4977, FPS: 9.084485138200822
Episode: 52, steps: 5077, FPS: 9.011481033714864
Episode: 53, steps: 5177, FPS: 8.941127921252422
Episode: 54, steps: 5277, FPS: 9.043800933126636
Episode: 55, steps: 5377, FPS: 9.152615610336158
Episode: 56, steps: 5477, FPS: 9.011174907000568
Episode: 57, steps: 5577, FPS: 8.582049607391088
Episode: 58, steps: 5677, FPS: 9.25259275904089
Episode: 59, steps: 5777, FPS: 9.024206640406252
Episode: 60, steps: 5877, FPS: 8.870457950681036
Episode: 61, steps: 5977, FPS: 8.968251868700255
Episode: 62, steps: 6077, FPS: 8.800468167575573
Episode: 63, steps: 6177, FPS: 9.011963172747643
Episode: 64, steps: 6277, FPS: 8.640849629101533
