## SLURM PROLOG ###############################################################
##    Job ID : 12995851
##  Job Name : embedbl_npy
##  Nodelist : gpu1201
##      CPUs : 
##  Mem/Node : 16384 MB
## Directory : /gpfs/data/gdk/reai_group5/summer_experiments/pytorch_dqn/scripts
##   Started : Tue May 26 12:47:17 EDT 2020
###############################################################################
using MALMO CNN 4 50 (9, 9)
building model
==== GRAPH NETWORK =====
Game Nodes: ['axe_item', 'bucket_item', 'cobblestone_item', 'dirt', 'dirt_item', 'farmland', 'farmland_item', 'hoe_item', 'log', 'log_item', 'pickaxe_item', 'stone', 'water', 'water_bucket_item']
Latent Nodes: []
Edges: []
starting init
finished initializing
...finished initializing gcn
Number of trainable parameters: 51154
using MALMO CNN 4 50 (9, 9)
building model
==== GRAPH NETWORK =====
Game Nodes: ['axe_item', 'bucket_item', 'cobblestone_item', 'dirt', 'dirt_item', 'farmland', 'farmland_item', 'hoe_item', 'log', 'log_item', 'pickaxe_item', 'stone', 'water', 'water_bucket_item']
Latent Nodes: []
Edges: []
starting init
finished initializing
...finished initializing gcn
Number of trainable parameters: 51154
Episode: 0, steps: 0, FPS: 0.9999997615814777
Episode: 1, steps: 101, FPS: 30565.050225048224
Episode: 2, steps: 202, FPS: 36124.209068648146
Episode: 3, steps: 303, FPS: 35975.362260343085
Episode: 4, steps: 404, FPS: 35884.83543029693
Episode: 5, steps: 505, FPS: 36317.403056027164
Episode: 6, steps: 594, FPS: 35662.48086915446
Episode: 7, steps: 695, FPS: 42079.17851873709
Episode: 8, steps: 796, FPS: 34173.57680325905
Episode: 9, steps: 897, FPS: 34509.88206824232
Episode: 10, steps: 998, FPS: 33779.629530201346
Episode: 11, steps: 1099, FPS: 42383.4959381811
Episode: 12, steps: 1200, FPS: 34770.725617685304
Episode: 13, steps: 1301, FPS: 34807.5020746888
Episode: 14, steps: 1402, FPS: 42653.938983050844
Episode: 15, steps: 1503, FPS: 41616.63501945525
Episode: 16, steps: 1604, FPS: 34526.59252683399
Episode: 17, steps: 1705, FPS: 35101.65802428618
Episode: 18, steps: 1806, FPS: 34884.13307240704
Episode: 19, steps: 1907, FPS: 34652.4386845942
Episode: 20, steps: 2008, FPS: 34821.667589125835
Episode: 21, steps: 2109, FPS: 42241.21327014218
Episode: 22, steps: 2210, FPS: 33948.500872877325
Episode: 23, steps: 2311, FPS: 34739.66772228989
Episode: 24, steps: 2412, FPS: 42463.42511166253
Episode: 25, steps: 2513, FPS: 34574.026830450945
Episode: 26, steps: 2614, FPS: 35301.51068570014
Episode: 27, steps: 2715, FPS: 34986.834151128554
Episode: 28, steps: 2816, FPS: 42467.64026206075
Episode: 29, steps: 2917, FPS: 34434.88473921442
Episode: 30, steps: 3018, FPS: 34523.806326662365
Episode: 31, steps: 3119, FPS: 35127.59733968306
Episode: 32, steps: 3220, FPS: 42099.882700255854
Episode: 33, steps: 3321, FPS: 42713.55910543131
Episode: 34, steps: 3422, FPS: 34574.026830450945
Episode: 35, steps: 3523, FPS: 34674.907440427945
Episode: 36, steps: 3624, FPS: 24974.839929947462
Episode: 37, steps: 3725, FPS: 42062.62982990856
Episode: 38, steps: 3826, FPS: 35430.145590062115
Episode: 39, steps: 3927, FPS: 32388.447876447877
Episode: 40, steps: 4028, FPS: 34398.89105089652
Episode: 41, steps: 4129, FPS: 42594.48506571087
Episode: 42, steps: 4230, FPS: 34881.288870770484
Episode: 43, steps: 4331, FPS: 34349.17767964673
Episode: 44, steps: 4432, FPS: 42104.025981694715
Episode: 45, steps: 4533, FPS: 35078.6329944244
Episode: 46, steps: 4634, FPS: 35078.6329944244
Episode: 47, steps: 4735, FPS: 34635.60621761658
Episode: 48, steps: 4836, FPS: 34998.28272251309
Episode: 49, steps: 4937, FPS: 35090.14173228347
Episode: 50, steps: 5038, FPS: 34354.6942905324
Episode: 51, steps: 5139, FPS: 34935.40813326801
Episode: 52, steps: 5240, FPS: 34762.24977654993
Episode: 53, steps: 5341, FPS: 34465.399822766456
Episode: 54, steps: 5442, FPS: 34537.74182610802
Episode: 55, steps: 5543, FPS: 35026.93695758965
Episode: 56, steps: 5644, FPS: 34632.80239617907
Episode: 57, steps: 5745, FPS: 39612.87111111111
Episode: 58, steps: 5846, FPS: 40775.73465497522
Episode: 59, steps: 5947, FPS: 35061.38403540403
Episode: 60, steps: 6048, FPS: 34316.11518408599
Episode: 61, steps: 6149, FPS: 42598.726277008864
Episode: 62, steps: 6250, FPS: 41955.37981759341
Episode: 63, steps: 6351, FPS: 34895.514518760196
Episode: 64, steps: 6452, FPS: 34140.85132870481
Episode: 65, steps: 6553, FPS: 34924.00065306122
Episode: 66, steps: 6654, FPS: 42207.87371744278
Episode: 67, steps: 6755, FPS: 33667.97890926261
Episode: 68, steps: 6856, FPS: 34029.51065860643
Episode: 69, steps: 6957, FPS: 34116.34832535885
Episode: 70, steps: 7058, FPS: 34833.008304836345
Episode: 71, steps: 7159, FPS: 34179.03714947671
Episode: 72, steps: 7260, FPS: 42274.60553359684
Episode: 73, steps: 7361, FPS: 35026.93695758965
Episode: 74, steps: 7462, FPS: 34479.28820116054
Episode: 75, steps: 7563, FPS: 34844.356409838736
Episode: 76, steps: 7664, FPS: 42387.69523432082
Episode: 77, steps: 7765, FPS: 33926.96336241079
Episode: 78, steps: 7866, FPS: 34482.06722011768
Episode: 79, steps: 7931, FPS: 33244.15323645971
Episode: 80, steps: 8032, FPS: 34621.591648458365
Episode: 81, steps: 8133, FPS: 42535.19665937562
Episode: 82, steps: 8234, FPS: 34703.03439325114
Episode: 83, steps: 8335, FPS: 34995.419877300614
Episode: 84, steps: 8436, FPS: 34070.16070717528
Episode: 85, steps: 8537, FPS: 33980.85845909452
Episode: 86, steps: 8638, FPS: 33678.58049279698
Episode: 87, steps: 8739, FPS: 34409.95801496019
Episode: 88, steps: 8840, FPS: 34189.96307839847
Episode: 89, steps: 8941, FPS: 34495.969037252056
Episode: 90, steps: 9042, FPS: 34440.42891643858
Episode: 91, steps: 9143, FPS: 34462.62348960851
Episode: 92, steps: 9244, FPS: 40927.86836314933
Episode: 93, steps: 9345, FPS: 41120.62745098039
Episode: 94, steps: 9446, FPS: 33710.42534079269
Episode: 95, steps: 9488, FPS: 34750.49556840077
Episode: 96, steps: 9589, FPS: 33478.28531183974
Episode: 97, steps: 9690, FPS: 41644.99250462377
Episode: 98, steps: 9791, FPS: 34283.116275342574
Episode: 99, steps: 9892, FPS: 32977.646496569796
Episode: 100, steps: 9993, FPS: 34269.385453380324
Episode: 101, steps: 10094, FPS: 32595.733942857143
Episode: 102, steps: 10195, FPS: 33543.908420887565
Episode: 103, steps: 10240, FPS: 36869.479075100324
Episode: 104, steps: 10341, FPS: 33999.76221886672
Episode: 105, steps: 10442, FPS: 34332.63847203274
Episode: 106, steps: 10543, FPS: 33394.6614628054
Episode: 107, steps: 10644, FPS: 32322.378966455122
Episode: 108, steps: 10745, FPS: 34206.36507555769
Episode: 109, steps: 10846, FPS: 41543.89279471742
Episode: 110, steps: 10947, FPS: 41820.03988269795
Episode: 111, steps: 11048, FPS: 34338.1497712497
Episode: 112, steps: 11149, FPS: 41547.92735748276
Episode: 113, steps: 11250, FPS: 33854.47558756034
Episode: 114, steps: 11351, FPS: 33136.008674773446
Episode: 115, steps: 11452, FPS: 33483.52571026063
Episode: 116, steps: 11553, FPS: 32904.09229349331
Episode: 117, steps: 11654, FPS: 34037.63290635691
Episode: 118, steps: 11755, FPS: 41848.67533991979
Episode: 119, steps: 11856, FPS: 34244.69767069559
Episode: 120, steps: 11957, FPS: 34015.98218971138
Episode: 121, steps: 12058, FPS: 33929.65405662622
Episode: 122, steps: 12159, FPS: 34321.62117930205
Episode: 123, steps: 12260, FPS: 34081.017127379906
Episode: 124, steps: 12361, FPS: 33811.66584999605
Episode: 125, steps: 12462, FPS: 32838.42554498004
Episode: 126, steps: 12563, FPS: 33881.28676645284
Episode: 127, steps: 12664, FPS: 33916.20485175202
Episode: 128, steps: 12765, FPS: 33562.32901859261
Episode: 129, steps: 12866, FPS: 34666.47824325419
Episode: 130, steps: 12967, FPS: 40982.75773541527
Episode: 131, steps: 13068, FPS: 34691.7781381771
Episode: 132, steps: 13169, FPS: 33875.92113389817
Episode: 133, steps: 13270, FPS: 34002.464473056745
Episode: 134, steps: 13371, FPS: 40721.398058252424
Episode: 135, steps: 13472, FPS: 40974.90738435016
Episode: 136, steps: 13573, FPS: 41640.93906949581
Episode: 137, steps: 13674, FPS: 34946.82306812613
Episode: 138, steps: 13775, FPS: 34305.10849170075
Episode: 139, steps: 13876, FPS: 41351.15097622269
Episode: 140, steps: 13977, FPS: 41427.23036699913
Episode: 141, steps: 14078, FPS: 34776.37847504471
Episode: 142, steps: 14179, FPS: 33699.80370224498
Episode: 143, steps: 14280, FPS: 33726.37035869137
Episode: 144, steps: 14381, FPS: 34299.60779283252
Episode: 145, steps: 14438, FPS: 32750.354334948843
Episode: 146, steps: 14539, FPS: 41375.14584139265
Episode: 147, steps: 14640, FPS: 33956.5844908326
Episode: 148, steps: 14741, FPS: 34498.750745907586
Episode: 149, steps: 14842, FPS: 33825.032258064515
Episode: 150, steps: 14943, FPS: 34596.393983503156
Episode: 151, steps: 15044, FPS: 34217.30848596337
Episode: 152, steps: 15145, FPS: 41531.79380642656
Episode: 153, steps: 15246, FPS: 34354.6942905324
Episode: 154, steps: 15347, FPS: 33908.14044543077
Episode: 155, steps: 15448, FPS: 34165.38955438428
Episode: 156, steps: 15549, FPS: 33707.769303498266
Episode: 157, steps: 15650, FPS: 41379.1476932005
Episode: 158, steps: 15751, FPS: 41279.33307603242
Episode: 159, steps: 15852, FPS: 34421.0321023413
Episode: 160, steps: 15953, FPS: 34291.36005129849
Episode: 161, steps: 16054, FPS: 34110.90798915643
Episode: 162, steps: 16155, FPS: 40601.59514093195
Episode: 163, steps: 16256, FPS: 40383.14215593733
Episode: 164, steps: 16357, FPS: 34296.8581048581
Episode: 165, steps: 16458, FPS: 41251.471217818915
Episode: 166, steps: 16559, FPS: 33612.429918290385
Episode: 167, steps: 16660, FPS: 41311.221320973345
Episode: 168, steps: 16761, FPS: 34487.62660217654
Episode: 169, steps: 16862, FPS: 34165.38955438428
Episode: 170, steps: 16963, FPS: 33784.96470030798
Episode: 171, steps: 17064, FPS: 34632.80239617907
Episode: 172, steps: 17165, FPS: 40834.11358213229
Episode: 173, steps: 17266, FPS: 42079.17851873709
Episode: 174, steps: 17367, FPS: 34181.76797698945
Episode: 175, steps: 17468, FPS: 41624.7332165791
Episode: 176, steps: 17569, FPS: 41616.63501945525
Episode: 177, steps: 17670, FPS: 34072.87416374642
Episode: 178, steps: 17771, FPS: 34440.42891643858
Episode: 179, steps: 17872, FPS: 34184.4992409109
Episode: 180, steps: 17973, FPS: 33617.71239981141
Episode: 181, steps: 18074, FPS: 33146.277833733635
Episode: 182, steps: 18175, FPS: 40951.374365846656
Episode: 183, steps: 18276, FPS: 33900.07987321712
Episode: 184, steps: 18377, FPS: 40802.957367668096
Episode: 185, steps: 18478, FPS: 41820.03988269795
Episode: 186, steps: 18579, FPS: 34045.759032309405
Episode: 187, steps: 18680, FPS: 34272.13073780341
Episode: 188, steps: 18781, FPS: 41535.82601941747
Episode: 189, steps: 18882, FPS: 34189.96307839847
Episode: 190, steps: 18983, FPS: 33151.41480046494
Episode: 191, steps: 19084, FPS: 33766.298973954224
Episode: 192, steps: 19185, FPS: 34872.759047929576
Episode: 193, steps: 19286, FPS: 34468.17660328714
Episode: 194, steps: 19387, FPS: 34283.116275342574
Episode: 195, steps: 19488, FPS: 34627.19611493323
Episode: 196, steps: 19589, FPS: 41820.03988269795
Episode: 197, steps: 19690, FPS: 40896.56897046172
Episode: 198, steps: 19791, FPS: 33851.79680329166
Episode: 199, steps: 19892, FPS: 34018.68702290076
Episode: 200, steps: 19993, FPS: 40841.91007159904
Episode: 201, steps: 20094, FPS: 41885.55002937145
Episode: 202, steps: 20195, FPS: 33873.23895486936
Episode: 203, steps: 20296, FPS: 41299.25745728352
Episode: 204, steps: 20397, FPS: 34015.98218971138
Episode: 205, steps: 20498, FPS: 34233.736736816834
Episode: 206, steps: 20599, FPS: 34296.8581048581
Episode: 207, steps: 20700, FPS: 34921.14994694311
Episode: 208, steps: 20801, FPS: 34269.385453380324
Episode: 209, steps: 20902, FPS: 33755.64210194098
Episode: 210, steps: 21003, FPS: 34239.216326530615
Episode: 211, steps: 21104, FPS: 41108.77371000288
Episode: 212, steps: 21205, FPS: 41547.92735748276
Episode: 213, steps: 21306, FPS: 34250.18077015451
Episode: 214, steps: 21407, FPS: 41754.73433535038
Episode: 215, steps: 21508, FPS: 34652.4386845942
Episode: 216, steps: 21609, FPS: 41203.79543484542
Episode: 217, steps: 21710, FPS: 34683.340737738145
Episode: 218, steps: 21811, FPS: 33110.36359414906
Episode: 219, steps: 21912, FPS: 34283.116275342574
Episode: 220, steps: 22013, FPS: 34124.51208423068
Episode: 221, steps: 22114, FPS: 41463.3657685598
Episode: 222, steps: 22215, FPS: 34943.968635138444
Episode: 223, steps: 22316, FPS: 33991.658032734784
Episode: 224, steps: 22417, FPS: 34579.615906886516
Episode: 225, steps: 22518, FPS: 33517.628329677216
Episode: 226, steps: 22619, FPS: 34576.82114281096
Episode: 227, steps: 22720, FPS: 33652.089042712185
Episode: 228, steps: 22821, FPS: 33174.55086848635
Episode: 229, steps: 22922, FPS: 33975.46124523507
Episode: 230, steps: 23023, FPS: 34146.30122116689
Episode: 231, steps: 23124, FPS: 34162.661343128646
Episode: 232, steps: 23225, FPS: 33593.9542991755
