## SLURM PROLOG ###############################################################
##    Job ID : 13231811
##  Job Name : one_layer_no_edges_atten
##  Nodelist : gpu1210
##      CPUs : 
##  Mem/Node : 16384 MB
## Directory : /gpfs/data/gdk/reai_group5/summer_experiments/pytorch_dqn/scripts
##   Started : Mon Jun  1 15:51:01 EDT 2020
###############################################################################
using MALMO CNN 4 50 (9, 9)
building model
==== GRAPH NETWORK =====
Game Nodes: ['axe_item', 'bucket_item', 'cobblestone_item', 'dirt', 'dirt_item', 'farmland', 'farmland_item', 'hoe_item', 'log', 'log_item', 'pickaxe_item', 'stone', 'water', 'water_bucket_item']
Latent Nodes: ['edge_tool', 'non_edge_tool', 'material', 'product']
Edges: [('edge_tool', 'pickaxe_item'), ('edge_tool', 'axe_item'), ('non_edge_tool', 'hoe_item'), ('non_edge_tool', 'bucket_item'), ('material', 'stone'), ('material', 'log'), ('material', 'dirt'), ('material', 'water'), ('product', 'log_item'), ('product', 'cobblestone_item'), ('product', 'farmland'), ('product', 'water_bucket_item')]
starting init
Using graph network
USING ATTENTION
finished initializing
...finished initializing gcn
Number of trainable parameters: 52210
using MALMO CNN 4 50 (9, 9)
building model
==== GRAPH NETWORK =====
Game Nodes: ['axe_item', 'bucket_item', 'cobblestone_item', 'dirt', 'dirt_item', 'farmland', 'farmland_item', 'hoe_item', 'log', 'log_item', 'pickaxe_item', 'stone', 'water', 'water_bucket_item']
Latent Nodes: ['edge_tool', 'non_edge_tool', 'material', 'product']
Edges: [('edge_tool', 'pickaxe_item'), ('edge_tool', 'axe_item'), ('non_edge_tool', 'hoe_item'), ('non_edge_tool', 'bucket_item'), ('material', 'stone'), ('material', 'log'), ('material', 'dirt'), ('material', 'water'), ('product', 'log_item'), ('product', 'cobblestone_item'), ('product', 'farmland'), ('product', 'water_bucket_item')]
starting init
Using graph network
USING ATTENTION
finished initializing
...finished initializing gcn
Number of trainable parameters: 52210
Episode: 0, steps: 0, FPS: 0.9999997615814777
Episode: 1, steps: 101, FPS: 28171.935203476885
Episode: 2, steps: 202, FPS: 32675.399679217902
Episode: 3, steps: 242, FPS: 29912.413289267697
Episode: 4, steps: 343, FPS: 31666.839970392302
Episode: 5, steps: 444, FPS: 32366.394916023604
Episode: 6, steps: 545, FPS: 31678.564087375045
Episode: 7, steps: 646, FPS: 30196.146809712027
Episode: 8, steps: 747, FPS: 29827.721397197238
Episode: 9, steps: 848, FPS: 30582.529701908643
Episode: 10, steps: 949, FPS: 30898.382782030912
Episode: 11, steps: 1050, FPS: 37856.73904964163
Episode: 12, steps: 1151, FPS: 37816.58339962875
Episode: 13, steps: 1252, FPS: 29123.14554118448
Episode: 14, steps: 1353, FPS: 37960.87027506655
Episode: 15, steps: 1454, FPS: 30501.85427064024
Episode: 16, steps: 1555, FPS: 31023.858448150833
Episode: 17, steps: 1656, FPS: 30938.603413364188
Episode: 18, steps: 1757, FPS: 31406.47540742916
Episode: 19, steps: 1858, FPS: 30683.425948504628
Episode: 20, steps: 1959, FPS: 30798.287236340075
Episode: 21, steps: 2060, FPS: 30829.35850688189
Episode: 22, steps: 2161, FPS: 30232.42230231079
Episode: 23, steps: 2262, FPS: 30784.990141757215
Episode: 24, steps: 2363, FPS: 30956.512879884227
Episode: 25, steps: 2464, FPS: 31264.177725811165
Episode: 26, steps: 2565, FPS: 38082.51807014421
Episode: 27, steps: 2666, FPS: 38177.67338925575
Episode: 28, steps: 2767, FPS: 30639.47633030151
Episode: 29, steps: 2868, FPS: 30493.158089807555
Episode: 30, steps: 2969, FPS: 38417.65517241379
Episode: 31, steps: 3046, FPS: 29978.531292953357
Episode: 32, steps: 3147, FPS: 30818.25443019738
Episode: 33, steps: 3248, FPS: 31145.821782178216
Episode: 34, steps: 3349, FPS: 30538.86844171604
Episode: 35, steps: 3450, FPS: 21361.044937088078
Episode: 36, steps: 3551, FPS: 30646.060744985672
Episode: 37, steps: 3652, FPS: 30402.14667424673
