## SLURM PROLOG ###############################################################
##    Job ID : 12995852
##  Job Name : pixel_npy
##  Nodelist : gpu1201
##      CPUs : 
##  Mem/Node : 16384 MB
## Directory : /gpfs/data/gdk/reai_group5/summer_experiments/pytorch_dqn/scripts
##   Started : Tue May 26 14:34:26 EDT 2020
###############################################################################
using MALMO CNN 1 50 (9, 9)
building model
==== GRAPH NETWORK =====
Game Nodes: ['axe_item', 'bucket_item', 'cobblestone_item', 'dirt', 'dirt_item', 'farmland', 'farmland_item', 'hoe_item', 'log', 'log_item', 'pickaxe_item', 'stone', 'water', 'water_bucket_item']
Latent Nodes: []
Edges: []
starting init
finished initializing
...finished initializing gcn
Number of trainable parameters: 50290
using MALMO CNN 1 50 (9, 9)
building model
==== GRAPH NETWORK =====
Game Nodes: ['axe_item', 'bucket_item', 'cobblestone_item', 'dirt', 'dirt_item', 'farmland', 'farmland_item', 'hoe_item', 'log', 'log_item', 'pickaxe_item', 'stone', 'water', 'water_bucket_item']
Latent Nodes: []
Edges: []
starting init
finished initializing
...finished initializing gcn
Number of trainable parameters: 50290
Episode: 0, steps: 0, FPS: 0.9999997615814777
Episode: 1, steps: 101, FPS: 31680.909952606635
Episode: 2, steps: 202, FPS: 36345.171013507774
Episode: 3, steps: 303, FPS: 36919.14118053159
Episode: 4, steps: 404, FPS: 37436.03500175009
Episode: 5, steps: 505, FPS: 36722.66163090129
Episode: 6, steps: 606, FPS: 36320.486289158674
Episode: 7, steps: 707, FPS: 35963.265635507734
Episode: 8, steps: 808, FPS: 42212.038283177106
Episode: 9, steps: 909, FPS: 35500.70599950212
Episode: 10, steps: 1010, FPS: 35752.883837539695
Episode: 11, steps: 1111, FPS: 43148.66444780635
Episode: 12, steps: 1212, FPS: 35278.22280860889
Episode: 13, steps: 1313, FPS: 34861.392438070405
Episode: 14, steps: 1414, FPS: 35018.33576164361
Episode: 15, steps: 1515, FPS: 34655.24568651276
Episode: 16, steps: 1616, FPS: 35556.765957446805
Episode: 17, steps: 1717, FPS: 42564.820216893844
Episode: 18, steps: 1818, FPS: 35427.2116594899
Episode: 19, steps: 1919, FPS: 35642.67333166708
Episode: 20, steps: 2020, FPS: 35863.77801995138
Episode: 21, steps: 2121, FPS: 35911.945605640896
Episode: 22, steps: 2222, FPS: 35397.89905675989
Episode: 23, steps: 2323, FPS: 35684.294603386435
Episode: 24, steps: 2424, FPS: 35231.73910895166
Episode: 25, steps: 2525, FPS: 43044.472079686086
Episode: 26, steps: 2626, FPS: 35917.97565275795
Episode: 27, steps: 2727, FPS: 42543.65632458234
Episode: 28, steps: 2828, FPS: 42846.17005508262
Episode: 29, steps: 2929, FPS: 42079.17851873709
Episode: 30, steps: 3030, FPS: 35598.18671992012
Episode: 31, steps: 3131, FPS: 34666.47824325419
Episode: 32, steps: 3232, FPS: 42705.03174286285
Episode: 33, steps: 3333, FPS: 35427.2116594899
Episode: 34, steps: 3434, FPS: 35488.926420572374
Episode: 35, steps: 3535, FPS: 35636.73536026655
Episode: 36, steps: 3636, FPS: 25793.983359459784
Episode: 37, steps: 3737, FPS: 42245.38441789276
Episode: 38, steps: 3838, FPS: 36274.29269119891
Episode: 39, steps: 3939, FPS: 32464.63864015784
Episode: 40, steps: 4040, FPS: 35574.50590387494
Episode: 41, steps: 4141, FPS: 35613.00324648298
Episode: 42, steps: 4242, FPS: 35936.077950440995
Episode: 43, steps: 4329, FPS: 34030.86409736308
Episode: 44, steps: 4430, FPS: 36151.68227142133
Episode: 45, steps: 4531, FPS: 36360.61601223866
Episode: 46, steps: 4632, FPS: 35972.3373412932
Episode: 47, steps: 4733, FPS: 35785.78067754078
Episode: 48, steps: 4834, FPS: 35176.698569314256
Episode: 49, steps: 4935, FPS: 35087.26383990814
Episode: 50, steps: 5036, FPS: 34646.826044703594
Episode: 51, steps: 5137, FPS: 36305.07535641548
Episode: 52, steps: 5238, FPS: 35657.52692115353
Episode: 53, steps: 5339, FPS: 35848.75213675214
Episode: 54, steps: 5440, FPS: 35681.31843202669
Episode: 55, steps: 5541, FPS: 35430.145590062115
Episode: 56, steps: 5642, FPS: 35702.16206292247
Episode: 57, steps: 5743, FPS: 41860.959686888455
Episode: 58, steps: 5844, FPS: 41612.587102421945
Episode: 59, steps: 5945, FPS: 35749.896214590124
Episode: 60, steps: 6046, FPS: 35530.189186944604
Episode: 61, steps: 6147, FPS: 43766.65043478261
Episode: 62, steps: 6248, FPS: 43820.4453549114
Episode: 63, steps: 6349, FPS: 35785.78067754078
Episode: 64, steps: 6450, FPS: 35477.15465627332
Episode: 65, steps: 6551, FPS: 35580.423153692616
Episode: 66, steps: 6652, FPS: 42653.938983050844
Episode: 67, steps: 6753, FPS: 36032.93253600606
Episode: 68, steps: 6854, FPS: 35182.484210526316
Episode: 69, steps: 6955, FPS: 35690.24843580546
Episode: 70, steps: 7056, FPS: 35624.86535098676
Episode: 71, steps: 7157, FPS: 34827.33702377076
Episode: 72, steps: 7258, FPS: 43061.802516356314
Episode: 73, steps: 7359, FPS: 35794.76305220884
Episode: 74, steps: 7460, FPS: 35893.867606342814
Episode: 75, steps: 7561, FPS: 35601.149038861615
Episode: 76, steps: 7662, FPS: 42602.968333001394
Episode: 77, steps: 7763, FPS: 34674.907440427945
Episode: 78, steps: 7824, FPS: 32747.367837803802
Episode: 79, steps: 7925, FPS: 43044.472079686086
Episode: 80, steps: 8026, FPS: 35869.79190072944
Episode: 81, steps: 8127, FPS: 35559.721386418416
Episode: 82, steps: 8228, FPS: 42463.42511166253
Episode: 83, steps: 8329, FPS: 35263.683481701286
Episode: 84, steps: 8430, FPS: 35301.51068570014
Episode: 85, steps: 8531, FPS: 35162.242787868825
Episode: 86, steps: 8632, FPS: 35776.80280983442
Episode: 87, steps: 8733, FPS: 34978.252636742705
Episode: 88, steps: 8834, FPS: 42362.51193187444
Episode: 89, steps: 8935, FPS: 36060.26702629805
Episode: 90, steps: 9036, FPS: 35963.265635507734
Episode: 91, steps: 9137, FPS: 43477.54146341464
Episode: 92, steps: 9238, FPS: 35669.41870935468
Episode: 93, steps: 9339, FPS: 35803.74993723324
Episode: 94, steps: 9437, FPS: 35499.3670171839
Episode: 95, steps: 9538, FPS: 35767.82944569852
Episode: 96, steps: 9639, FPS: 35275.31398416887
