## SLURM PROLOG ###############################################################
##    Job ID : 13294810
##  Job Name : simple_fully_connected
##  Nodelist : gpu1201
##      CPUs : 
##  Mem/Node : 16384 MB
## Directory : /gpfs/data/gdk/reai_group5/summer_experiments/pytorch_dqn/scripts
##   Started : Tue Jun  2 18:43:30 EDT 2020
###############################################################################
using MALMO CNN 4 50 (9, 9)
building model
==== GRAPH NETWORK =====
Game Nodes: ['axe_item', 'bucket_item', 'cobblestone_item', 'dirt', 'dirt_item', 'farmland', 'farmland_item', 'hoe_item', 'log', 'log_item', 'pickaxe_item', 'stone', 'water', 'water_bucket_item']
Latent Nodes: ['edge_tool', 'non_edge_tool', 'material', 'product']
Edges: [('edge_tool', 'pickaxe_item'), ('edge_tool', 'axe_item'), ('non_edge_tool', 'hoe_item'), ('non_edge_tool', 'bucket_item'), ('material', 'stone'), ('material', 'log'), ('material', 'dirt'), ('material', 'water'), ('product', 'log_item'), ('product', 'cobblestone_item'), ('product', 'farmland'), ('product', 'water_bucket_item')]
starting init
Using graph network
finished initializing
...finished initializing gcn
Number of trainable parameters: 51886
using MALMO CNN 4 50 (9, 9)
building model
==== GRAPH NETWORK =====
Game Nodes: ['axe_item', 'bucket_item', 'cobblestone_item', 'dirt', 'dirt_item', 'farmland', 'farmland_item', 'hoe_item', 'log', 'log_item', 'pickaxe_item', 'stone', 'water', 'water_bucket_item']
Latent Nodes: ['edge_tool', 'non_edge_tool', 'material', 'product']
Edges: [('edge_tool', 'pickaxe_item'), ('edge_tool', 'axe_item'), ('non_edge_tool', 'hoe_item'), ('non_edge_tool', 'bucket_item'), ('material', 'stone'), ('material', 'log'), ('material', 'dirt'), ('material', 'water'), ('product', 'log_item'), ('product', 'cobblestone_item'), ('product', 'farmland'), ('product', 'water_bucket_item')]
starting init
Using graph network
finished initializing
...finished initializing gcn
Number of trainable parameters: 51886
Episode: 0, steps: 0, FPS: 0.9999995231630692
Episode: 1, steps: 101, FPS: 32305.293966623878
Episode: 2, steps: 202, FPS: 37766.50847457627
Episode: 3, steps: 303, FPS: 37201.652869565216
Episode: 4, steps: 404, FPS: 36329.739130434784
Episode: 5, steps: 505, FPS: 37298.95448997385
Episode: 6, steps: 606, FPS: 37465.54059024433
Episode: 7, steps: 707, FPS: 36329.739130434784
Episode: 8, steps: 808, FPS: 43148.66444780635
Episode: 9, steps: 909, FPS: 34750.95508082203
Episode: 10, steps: 1010, FPS: 35527.23866467364
Episode: 11, steps: 1111, FPS: 42820.43919527575
Episode: 12, steps: 1212, FPS: 35568.59062188227
Episode: 13, steps: 1289, FPS: 34993.6583591828
Episode: 14, steps: 1390, FPS: 35243.34854600873
Episode: 15, steps: 1491, FPS: 35884.83543029693
Episode: 16, steps: 1592, FPS: 35851.756306042065
Episode: 17, steps: 1693, FPS: 36422.52749872297
Episode: 18, steps: 1794, FPS: 35723.03006012024
Episode: 19, steps: 1895, FPS: 34588.00291050206
Episode: 20, steps: 1996, FPS: 36051.15092272689
Episode: 21, steps: 2097, FPS: 36005.63945463727
Episode: 22, steps: 2198, FPS: 35497.760371722536
Episode: 23, steps: 2299, FPS: 35424.27821478844
Episode: 24, steps: 2400, FPS: 43096.50528860683
Episode: 25, steps: 2501, FPS: 42522.51346784614
Episode: 26, steps: 2602, FPS: 35999.57993941434
Episode: 27, steps: 2703, FPS: 35911.945605640896
Episode: 28, steps: 2770, FPS: 34354.6942905324
Episode: 29, steps: 2871, FPS: 43717.45432250153
Episode: 30, steps: 2972, FPS: 35491.87058237929
Episode: 31, steps: 3073, FPS: 35726.01319415449
Episode: 32, steps: 3174, FPS: 25993.01342730421
Episode: 33, steps: 3275, FPS: 35316.081228330855
Episode: 34, steps: 3376, FPS: 35240.44546952224
Episode: 35, steps: 3477, FPS: 35568.59062188227
Episode: 36, steps: 3578, FPS: 36261.99423631124
