## SLURM PROLOG ###############################################################
##    Job ID : 13428419
##  Job Name : skyline_hier_glove
##  Nodelist : gpu1209
##      CPUs : 
##  Mem/Node : 16384 MB
## Directory : /gpfs/data/gdk/reai_group5/pytorch_glove/pytorch_dqn/scripts
##   Started : Tue Jun  9 14:29:10 EDT 2020
###############################################################################
using MALMO CNN 4 50 (9, 9)
building model
==== GRAPH NETWORK =====
Game Nodes: ['axe_item', 'bucket_item', 'cobblestone_item', 'dirt', 'dirt_item', 'farmland', 'farmland_item', 'hoe_item', 'log', 'log_item', 'pickaxe_item', 'stone', 'water', 'water_bucket_item']
Latent Nodes: ['edge_tool', 'tool', 'material', 'product']
Edges: [[('pickaxe_item', 'stone'), ('axe_item', 'log'), ('hoe_item', 'dirt'), ('bucket_item', 'water'), ('stone', 'cobblestone_item'), ('log', 'log_item'), ('dirt', 'farmland'), ('water', 'water_bucket_item'), ('edge_tool', 'pickaxe_item'), ('edge_tool', 'axe_item'), ('tool', 'hoe_item'), ('tool', 'bucket_item'), ('material', 'stone'), ('material', 'log'), ('material', 'dirt'), ('material', 'water'), ('product', 'log_item'), ('product', 'cobblestone_item'), ('product', 'farmland'), ('product', 'water_bucket_item')]]
starting init
using glove!
finished initializing
...finished initializing gcn
Number of trainable parameters: 52486
using MALMO CNN 4 50 (9, 9)
building model
==== GRAPH NETWORK =====
Game Nodes: ['axe_item', 'bucket_item', 'cobblestone_item', 'dirt', 'dirt_item', 'farmland', 'farmland_item', 'hoe_item', 'log', 'log_item', 'pickaxe_item', 'stone', 'water', 'water_bucket_item']
Latent Nodes: ['edge_tool', 'tool', 'material', 'product']
Edges: [[('pickaxe_item', 'stone'), ('axe_item', 'log'), ('hoe_item', 'dirt'), ('bucket_item', 'water'), ('stone', 'cobblestone_item'), ('log', 'log_item'), ('dirt', 'farmland'), ('water', 'water_bucket_item'), ('edge_tool', 'pickaxe_item'), ('edge_tool', 'axe_item'), ('tool', 'hoe_item'), ('tool', 'bucket_item'), ('material', 'stone'), ('material', 'log'), ('material', 'dirt'), ('material', 'water'), ('product', 'log_item'), ('product', 'cobblestone_item'), ('product', 'farmland'), ('product', 'water_bucket_item')]]
starting init
using glove!
finished initializing
...finished initializing gcn
Number of trainable parameters: 52486
Episode: 0, steps: 0, FPS: 0.9999995231630692
Episode: 1, steps: 101, FPS: 40830.216453521665
Episode: 2, steps: 202, FPS: 43406.96103896104
Episode: 3, steps: 303, FPS: 43332.21999392282
Episode: 4, steps: 404, FPS: 44228.161687170475
Episode: 5, steps: 505, FPS: 55727.36850332161
Episode: 6, steps: 606, FPS: 45721.81340173133
Episode: 7, steps: 707, FPS: 44555.19766715268
Episode: 8, steps: 808, FPS: 45204.88250211327
Episode: 9, steps: 909, FPS: 44596.9986448452
Episode: 10, steps: 1010, FPS: 44448.7281038961
Episode: 11, steps: 1111, FPS: 45435.32370433305
Episode: 12, steps: 1212, FPS: 45575.690635985935
Episode: 13, steps: 1313, FPS: 44863.57046979866
Episode: 14, steps: 1414, FPS: 56195.85025614081
Episode: 15, steps: 1515, FPS: 44559.838350171856
Episode: 16, steps: 1616, FPS: 55546.482472085176
Episode: 17, steps: 1717, FPS: 44361.15802571547
Episode: 18, steps: 1818, FPS: 44746.26168810794
Episode: 19, steps: 1919, FPS: 56418.17328234208
Episode: 20, steps: 2020, FPS: 43428.99279260989
Episode: 21, steps: 2121, FPS: 44091.4158507678
Episode: 22, steps: 2222, FPS: 54848.59076923077
Episode: 23, steps: 2323, FPS: 43726.39084219133
Episode: 24, steps: 2424, FPS: 43597.167838581474
Episode: 25, steps: 2525, FPS: 44306.028169014084
Episode: 26, steps: 2626, FPS: 43883.37347420248
Episode: 27, steps: 2727, FPS: 43946.48258859784
Episode: 28, steps: 2828, FPS: 43677.28514548239
Episode: 29, steps: 2929, FPS: 55074.53759011329
Episode: 30, steps: 3030, FPS: 42249.5563894924
Episode: 31, steps: 3131, FPS: 30606.59665188153
Episode: 32, steps: 3232, FPS: 44513.47497658932
Episode: 33, steps: 3333, FPS: 44068.70704573548
Episode: 34, steps: 3434, FPS: 44718.19880840389
Episode: 35, steps: 3535, FPS: 44027.89008953381
Episode: 36, steps: 3636, FPS: 44518.106971904264
Episode: 37, steps: 3737, FPS: 54750.32096237523
Episode: 38, steps: 3838, FPS: 43437.81175753884
Episode: 39, steps: 3939, FPS: 53370.63473053892
Episode: 40, steps: 4040, FPS: 43991.67177377892
Episode: 41, steps: 4141, FPS: 54044.84689236988
Episode: 42, steps: 4242, FPS: 54673.35565495208
Episode: 43, steps: 4343, FPS: 43451.04692260816
