## SLURM PROLOG ###############################################################
##    Job ID : 12681816
##  Job Name : skyline_multitask
##  Nodelist : gpu1401
##      CPUs : 
##  Mem/Node : 16384 MB
## Directory : /gpfs/data/gdk/reai_group5/zach_pytorch_dqn/pytorch_dqn
##   Started : Tue May  5 22:11:36 EDT 2020
###############################################################################
using MALMO CNN 4 50 (9, 9)
building model
gcn model
starting init
finished initializing
finished initializing gcn
Number of trainable parameters: 51830
using MALMO CNN 4 50 (9, 9)
building model
gcn model
starting init
finished initializing
finished initializing gcn
Number of trainable parameters: 51830
Episode: 0, steps: 0, FPS: 0.9999997615814777
Episode: 1, steps: 100, FPS: 18.129254129546336
Episode: 2, steps: 200, FPS: 16.95515786368664
Episode: 3, steps: 300, FPS: 17.098437747597053
Episode: 4, steps: 400, FPS: 17.10735612991173
Episode: 5, steps: 500, FPS: 17.125006917719343
Episode: 6, steps: 600, FPS: 16.769043996579093
Episode: 7, steps: 678, FPS: 15.809980599076804
Episode: 8, steps: 772, FPS: 16.826327622348682
Episode: 9, steps: 872, FPS: 16.972324464675786
Episode: 10, steps: 972, FPS: 17.07555192817529
Episode: 11, steps: 1072, FPS: 17.186153198480746
Episode: 12, steps: 1172, FPS: 16.92599245718515
Episode: 13, steps: 1272, FPS: 16.825613126962303
Episode: 14, steps: 1372, FPS: 16.99233696711212
Episode: 15, steps: 1472, FPS: 16.83651855249518
Episode: 16, steps: 1572, FPS: 16.76369019167228
Episode: 17, steps: 1672, FPS: 16.96616464806713
Episode: 18, steps: 1772, FPS: 16.70832212870858
Episode: 19, steps: 1830, FPS: 14.068034858792059
Episode: 20, steps: 1930, FPS: 16.929854901300825
Episode: 21, steps: 2030, FPS: 16.963565978917472
Episode: 22, steps: 2130, FPS: 17.113078982474295
Episode: 23, steps: 2230, FPS: 16.90407016775194
Episode: 24, steps: 2330, FPS: 17.121973894877616
Episode: 25, steps: 2430, FPS: 17.043624386539733
Episode: 26, steps: 2530, FPS: 16.99826207319837
Episode: 27, steps: 2630, FPS: 16.980683594597878
Episode: 28, steps: 2730, FPS: 16.94092708096015
Episode: 29, steps: 2830, FPS: 17.075481723407353
Episode: 30, steps: 2930, FPS: 16.980733963451783
Episode: 31, steps: 3030, FPS: 16.747043465294134
Episode: 32, steps: 3130, FPS: 16.850488597884432
Episode: 33, steps: 3230, FPS: 17.171521047404944
Episode: 34, steps: 3330, FPS: 16.89268772310177
Episode: 35, steps: 3430, FPS: 17.104544136982128
Episode: 36, steps: 3530, FPS: 14.580586791715557
Episode: 37, steps: 3630, FPS: 17.06988440743696
Episode: 38, steps: 3730, FPS: 17.04376907329347
Episode: 39, steps: 3830, FPS: 16.960837044567928
Episode: 40, steps: 3930, FPS: 16.935276117851934
Episode: 41, steps: 4030, FPS: 16.998047224450175
Episode: 42, steps: 4130, FPS: 16.81956399848077
Episode: 43, steps: 4230, FPS: 15.507523822025886
Episode: 44, steps: 4262, FPS: 10.560511621466036
Episode: 45, steps: 4362, FPS: 16.822273042608778
Episode: 46, steps: 4462, FPS: 17.113128065872814
Episode: 47, steps: 4562, FPS: 14.470217973469877
Episode: 48, steps: 4662, FPS: 15.025550423228685
Episode: 49, steps: 4762, FPS: 13.85464932921865
Episode: 50, steps: 4816, FPS: 12.285518682971967
Episode: 51, steps: 4916, FPS: 16.274654038742867
Episode: 52, steps: 5016, FPS: 14.439071676368787
Episode: 53, steps: 5116, FPS: 14.576627816048179
Episode: 54, steps: 5216, FPS: 16.201814803403437
Episode: 55, steps: 5316, FPS: 16.819525933811402
Episode: 56, steps: 5416, FPS: 17.029224924009103
Episode: 57, steps: 5516, FPS: 17.124849079898244
Episode: 58, steps: 5616, FPS: 17.84812017505305
Episode: 59, steps: 5648, FPS: 8.094414304534167
