## SLURM PROLOG ###############################################################
##    Job ID : 12702763
##  Job Name : skyline_multitask
##  Nodelist : gpu2006
##      CPUs : 
##  Mem/Node : 16384 MB
## Directory : /gpfs/data/gdk/reai_group5/zach_pytorch_dqn/pytorch_dqn
##   Started : Thu May  7 15:35:11 EDT 2020
###############################################################################
using MALMO CNN 4 50 (9, 9)
building model
gcn model
starting init
finished initializing
finished initializing gcn
Number of trainable parameters: 51830
using MALMO CNN 4 50 (9, 9)
building model
gcn model
starting init
finished initializing
finished initializing gcn
Number of trainable parameters: 51830
Episode: 0, steps: 0, FPS: 0.9999997615814777
Episode: 1, steps: 89, FPS: 4.567839037272999
Episode: 2, steps: 189, FPS: 12.655534846951793
Episode: 3, steps: 289, FPS: 14.824586619897053
Episode: 4, steps: 389, FPS: 15.594037976851197
Episode: 5, steps: 489, FPS: 16.253666415330166
Episode: 6, steps: 589, FPS: 16.88887453657474
Episode: 7, steps: 689, FPS: 16.774112290985208
Episode: 8, steps: 776, FPS: 16.158413400417608
Episode: 9, steps: 876, FPS: 16.47626094386201
Episode: 10, steps: 886, FPS: 4.898220603543505
Episode: 11, steps: 986, FPS: 17.56259653734382
Episode: 12, steps: 1086, FPS: 17.009230663477503
Episode: 13, steps: 1186, FPS: 16.889792992093557
Episode: 14, steps: 1286, FPS: 16.705770217486112
Episode: 15, steps: 1386, FPS: 16.825070498534387
Episode: 16, steps: 1486, FPS: 16.97239110378052
Episode: 17, steps: 1586, FPS: 16.555115844076628
Episode: 18, steps: 1686, FPS: 16.780242424712956
Episode: 19, steps: 1786, FPS: 16.91796408089574
Episode: 20, steps: 1886, FPS: 17.86815496287112
Episode: 21, steps: 1986, FPS: 17.522044453514713
Episode: 22, steps: 2086, FPS: 17.6149678244118
Episode: 23, steps: 2147, FPS: 14.8253361538205
Episode: 24, steps: 2155, FPS: 4.130666041045861
Episode: 25, steps: 2255, FPS: 17.3963632469133
Episode: 26, steps: 2355, FPS: 16.34110333972461
Episode: 27, steps: 2455, FPS: 16.943326358550753
Episode: 28, steps: 2555, FPS: 17.728819700675796
Episode: 29, steps: 2655, FPS: 17.823100976452075
Episode: 30, steps: 2755, FPS: 16.42613198666552
Episode: 31, steps: 2855, FPS: 17.571078728732758
Episode: 32, steps: 2955, FPS: 16.943835979153416
Episode: 33, steps: 3055, FPS: 16.98091502152935
Episode: 34, steps: 3155, FPS: 16.782152279008958
Episode: 35, steps: 3255, FPS: 17.64948279740321
Episode: 36, steps: 3355, FPS: 16.831919404760136
Episode: 37, steps: 3455, FPS: 17.721301678363744
Episode: 38, steps: 3555, FPS: 17.741509553597552
Episode: 39, steps: 3655, FPS: 17.79796189088704
Episode: 40, steps: 3755, FPS: 17.782030291408066
Episode: 41, steps: 3794, FPS: 12.349863893399602
Episode: 42, steps: 3802, FPS: 3.5560177748436903
Episode: 43, steps: 3902, FPS: 16.886989456970248
Episode: 44, steps: 4002, FPS: 16.739134303725024
Episode: 45, steps: 4102, FPS: 16.735848297039084
Episode: 46, steps: 4202, FPS: 17.682214128225226
Episode: 47, steps: 4248, FPS: 13.523572267126864
Episode: 48, steps: 4348, FPS: 17.687240272950476
Episode: 49, steps: 4448, FPS: 16.71561449206613
Episode: 50, steps: 4548, FPS: 17.90284780677547
Episode: 51, steps: 4648, FPS: 17.628197879046986
Episode: 52, steps: 4748, FPS: 16.72969571342739
Episode: 53, steps: 4848, FPS: 16.819671515407308
Episode: 54, steps: 4948, FPS: 16.743966130465438
Episode: 55, steps: 4960, FPS: 6.1878223512610795
Episode: 56, steps: 5060, FPS: 17.633125832904323
Episode: 57, steps: 5160, FPS: 17.642699038937113
Episode: 58, steps: 5260, FPS: 17.813090605021493
Episode: 59, steps: 5360, FPS: 16.94486209022605
Episode: 60, steps: 5460, FPS: 17.129316737411283
Episode: 61, steps: 5560, FPS: 17.43840575832306
Episode: 62, steps: 5660, FPS: 17.682313028896665
Episode: 63, steps: 5760, FPS: 17.654740506910723
Episode: 64, steps: 5853, FPS: 16.546664632596837
Episode: 65, steps: 5953, FPS: 17.547456204231864
Episode: 66, steps: 6053, FPS: 17.75302713158949
Episode: 67, steps: 6153, FPS: 16.920697483520556
Episode: 68, steps: 6204, FPS: 13.096308184557326
Episode: 69, steps: 6304, FPS: 17.693896483793758
Episode: 70, steps: 6404, FPS: 17.711531185883846
Episode: 71, steps: 6504, FPS: 17.519724835598797
Episode: 72, steps: 6604, FPS: 17.68950622055131
Episode: 73, steps: 6704, FPS: 17.695215022545256
Episode: 74, steps: 6804, FPS: 17.650534382931678
Episode: 75, steps: 6883, FPS: 16.553528990428784
Episode: 76, steps: 6983, FPS: 17.91549336755179
Episode: 77, steps: 7083, FPS: 17.709090060855353
Episode: 78, steps: 7183, FPS: 16.88311761187482
Episode: 79, steps: 7283, FPS: 16.77026613604564
Episode: 80, steps: 7383, FPS: 17.84859543621682
Episode: 81, steps: 7436, FPS: 14.240255425294595
Episode: 82, steps: 7536, FPS: 16.098504944244315
Episode: 83, steps: 7636, FPS: 17.841853156718273
Episode: 84, steps: 7736, FPS: 17.589996443174627
Episode: 85, steps: 7824, FPS: 17.139320936930854
Episode: 86, steps: 7924, FPS: 17.759555014098655
Episode: 87, steps: 8024, FPS: 17.741731719030412
Episode: 88, steps: 8124, FPS: 17.94952773589022
Episode: 89, steps: 8224, FPS: 17.633022343973813
Episode: 90, steps: 8324, FPS: 17.477356117371837
Episode: 91, steps: 8424, FPS: 17.44922828120996
Episode: 92, steps: 8524, FPS: 17.606553711445414
Episode: 93, steps: 8624, FPS: 16.79428697701196
Episode: 94, steps: 8724, FPS: 17.880405885180636
Episode: 95, steps: 8824, FPS: 16.92045755745151
Episode: 96, steps: 8916, FPS: 17.11127669503381
Episode: 97, steps: 9016, FPS: 17.892579907610234
Episode: 98, steps: 9116, FPS: 17.76348924358911
Episode: 99, steps: 9216, FPS: 17.556364683445004
Episode: 100, steps: 9316, FPS: 17.68245252500798
Episode: 101, steps: 9416, FPS: 17.93332679711004
Episode: 102, steps: 9516, FPS: 17.800984829537356
Episode: 103, steps: 9616, FPS: 17.05265796025473
Episode: 104, steps: 9716, FPS: 17.930500084483455
Episode: 105, steps: 9816, FPS: 17.850726150559904
Episode: 106, steps: 9916, FPS: 17.55434148330508
Episode: 107, steps: 10016, FPS: 17.837850342678557
Episode: 108, steps: 10116, FPS: 16.833735349772184
Episode: 109, steps: 10216, FPS: 16.923074808891464
Episode: 110, steps: 10238, FPS: 8.404732662324248
Episode: 111, steps: 10291, FPS: 14.29353801271265
Episode: 112, steps: 10335, FPS: 13.146821232489415
Episode: 113, steps: 10435, FPS: 17.74720141781648
Episode: 114, steps: 10535, FPS: 17.72323230480709
Episode: 115, steps: 10635, FPS: 16.306297239457905
Episode: 116, steps: 10735, FPS: 16.932247659571033
Episode: 117, steps: 10763, FPS: 9.581316738873573
Episode: 118, steps: 10863, FPS: 17.70382657012208
Episode: 119, steps: 10963, FPS: 16.59534157222838
Episode: 120, steps: 11063, FPS: 16.803326706005418
Episode: 121, steps: 11163, FPS: 17.62381155935635
Episode: 122, steps: 11263, FPS: 17.901858992879692
Episode: 123, steps: 11330, FPS: 15.243646843056473
Episode: 124, steps: 11430, FPS: 17.728587471373725
Episode: 125, steps: 11530, FPS: 17.40502740125349
Episode: 126, steps: 11630, FPS: 16.606101469123075
Episode: 127, steps: 11730, FPS: 17.538439131026816
Episode: 128, steps: 11830, FPS: 17.380767095383664
Episode: 129, steps: 11838, FPS: 4.683667646733674
Episode: 130, steps: 11938, FPS: 17.639017162645573
Episode: 131, steps: 11970, FPS: 10.467372315964955
Episode: 132, steps: 12070, FPS: 17.43533391162365
Episode: 133, steps: 12170, FPS: 17.516189704984363
Episode: 134, steps: 12270, FPS: 17.48208465251204
Episode: 135, steps: 12370, FPS: 17.196226403452552
Episode: 136, steps: 12390, FPS: 8.470755776038732
Episode: 137, steps: 12399, FPS: 5.274700288829902
Episode: 138, steps: 12499, FPS: 16.819648809854915
Episode: 139, steps: 12599, FPS: 17.6119579384784
Episode: 140, steps: 12699, FPS: 16.7776146759923
Episode: 141, steps: 12762, FPS: 15.05967680277941
Episode: 142, steps: 12811, FPS: 13.53893375034789
Episode: 143, steps: 12911, FPS: 17.40516684730938
Episode: 144, steps: 13011, FPS: 17.49161368150901
Episode: 145, steps: 13111, FPS: 17.493810996093856
Episode: 146, steps: 13211, FPS: 16.77754623526649
Episode: 147, steps: 13311, FPS: 17.85415681939074
Episode: 148, steps: 13411, FPS: 16.589540012118743
Episode: 149, steps: 13511, FPS: 17.373710171574658
Episode: 150, steps: 13611, FPS: 17.571475211458257
Episode: 151, steps: 13711, FPS: 17.21475647721285
Episode: 152, steps: 13811, FPS: 17.627399070404493
Episode: 153, steps: 13911, FPS: 17.47126674185692
Episode: 154, steps: 14011, FPS: 17.72349553723221
Episode: 155, steps: 14111, FPS: 16.576626347691914
Episode: 156, steps: 14211, FPS: 16.68636419891728
Episode: 157, steps: 14311, FPS: 17.559183827426004
Episode: 158, steps: 14347, FPS: 11.760872171530261
Episode: 159, steps: 14447, FPS: 17.45068097352314
Episode: 160, steps: 14519, FPS: 15.067097168947049
Episode: 161, steps: 14619, FPS: 17.336462827098718
Episode: 162, steps: 14719, FPS: 17.420734482119087
Episode: 163, steps: 14819, FPS: 17.759886336648027
