## SLURM PROLOG ###############################################################
##    Job ID : 12730159
##  Job Name : skyline_multitask_hier
##  Nodelist : gpu1401
##      CPUs : 
##  Mem/Node : 16384 MB
## Directory : /gpfs/data/gdk/reai_group5/zach_pytorch_dqn/pytorch_dqn
##   Started : Fri May  8 22:51:45 EDT 2020
###############################################################################
using MALMO CNN 4 50 (9, 9)
building model
gcn model
starting init
finished initializing
finished initializing gcn
Number of trainable parameters: 51778
using MALMO CNN 4 50 (9, 9)
building model
gcn model
starting init
finished initializing
finished initializing gcn
Number of trainable parameters: 51778
Episode: 0, steps: 0, FPS: 0.9999997615814777
Episode: 1, steps: 100, FPS: 18.022934079984996
Episode: 2, steps: 200, FPS: 16.863809155487314
Episode: 3, steps: 300, FPS: 16.93887593600725
Episode: 4, steps: 400, FPS: 16.819611412608136
Episode: 5, steps: 500, FPS: 16.81413784899705
Episode: 6, steps: 600, FPS: 16.879875727369246
Episode: 7, steps: 700, FPS: 16.8121960209964
Episode: 8, steps: 800, FPS: 16.794672482348485
Episode: 9, steps: 900, FPS: 17.780636840422382
Episode: 10, steps: 990, FPS: 17.09032655823288
Episode: 11, steps: 1090, FPS: 16.876434732003823
Episode: 12, steps: 1190, FPS: 16.755305369188704
Episode: 13, steps: 1290, FPS: 14.165858146299568
Episode: 14, steps: 1390, FPS: 16.813852218667986
Episode: 15, steps: 1490, FPS: 16.943978298893384
Episode: 16, steps: 1590, FPS: 17.601061386811292
Episode: 17, steps: 1690, FPS: 16.88376088951028
Episode: 18, steps: 1790, FPS: 16.751461208887516
Episode: 19, steps: 1890, FPS: 16.841854704855162
Episode: 20, steps: 1990, FPS: 16.76786915808317
Episode: 21, steps: 2090, FPS: 16.91998583533085
Episode: 22, steps: 2190, FPS: 16.848559138454068
Episode: 23, steps: 2290, FPS: 16.923619044704633
Episode: 24, steps: 2390, FPS: 16.905621054587446
Episode: 25, steps: 2490, FPS: 16.820114285932096
Episode: 26, steps: 2590, FPS: 16.791414554144378
Episode: 27, steps: 2690, FPS: 17.741477603842423
Episode: 28, steps: 2790, FPS: 16.201918285517834
Episode: 29, steps: 2890, FPS: 16.760882602878162
Episode: 30, steps: 2965, FPS: 15.30060825234286
Episode: 31, steps: 3065, FPS: 16.944024383893044
Episode: 32, steps: 3165, FPS: 16.822628435620942
Episode: 33, steps: 3265, FPS: 13.911654781203875
Episode: 34, steps: 3365, FPS: 16.82017439232524
Episode: 35, steps: 3465, FPS: 16.825028399515993
Episode: 36, steps: 3565, FPS: 16.91816136987901
Episode: 37, steps: 3665, FPS: 17.780414445853403
Episode: 38, steps: 3765, FPS: 17.524368310459423
Episode: 39, steps: 3865, FPS: 16.834057110539817
Episode: 40, steps: 3965, FPS: 16.83570490574403
Episode: 41, steps: 4065, FPS: 16.851382102695943
Episode: 42, steps: 4165, FPS: 16.81650935586085
Episode: 43, steps: 4265, FPS: 16.320161003870226
Episode: 44, steps: 4365, FPS: 16.92627649985494
Episode: 45, steps: 4465, FPS: 16.840917353485704
Episode: 46, steps: 4565, FPS: 16.824306734818876
Episode: 47, steps: 4665, FPS: 16.86101155473143
Episode: 48, steps: 4765, FPS: 16.82807009459676
Episode: 49, steps: 4865, FPS: 16.644934584821115
Episode: 50, steps: 4965, FPS: 16.890067066720487
Episode: 51, steps: 5065, FPS: 16.855266900080196
Episode: 52, steps: 5165, FPS: 16.72825356121025
Episode: 53, steps: 5265, FPS: 16.86701062054039
Episode: 54, steps: 5365, FPS: 16.925789575400415
Episode: 55, steps: 5465, FPS: 16.899527754359664
Episode: 56, steps: 5565, FPS: 16.92389827492572
Episode: 57, steps: 5665, FPS: 16.86184845553122
Episode: 58, steps: 5765, FPS: 16.882411139573613
Episode: 59, steps: 5800, FPS: 10.893708189485878
Episode: 60, steps: 5900, FPS: 16.894066739795576
Episode: 61, steps: 6000, FPS: 16.89533412463443
Episode: 62, steps: 6100, FPS: 16.92125238086032
Episode: 63, steps: 6200, FPS: 16.88869139610024
Episode: 64, steps: 6300, FPS: 16.87167869148406
Episode: 65, steps: 6400, FPS: 17.012063323270993
Episode: 66, steps: 6500, FPS: 16.975521011111425
Episode: 67, steps: 6600, FPS: 16.892732182267373
Episode: 68, steps: 6700, FPS: 16.858188047055798
Episode: 69, steps: 6800, FPS: 16.791914411577213
Episode: 70, steps: 6900, FPS: 16.76349184540878
Episode: 71, steps: 7000, FPS: 16.822778747334414
Episode: 72, steps: 7100, FPS: 16.923866497656267
Episode: 73, steps: 7200, FPS: 16.766770136197525
Episode: 74, steps: 7300, FPS: 16.864238811721712
Episode: 75, steps: 7400, FPS: 16.882014868138867
Episode: 76, steps: 7500, FPS: 16.872123532427917
Episode: 77, steps: 7600, FPS: 16.94401625122783
Episode: 78, steps: 7700, FPS: 17.789871870838617
Episode: 79, steps: 7800, FPS: 16.798816283892638
Episode: 80, steps: 7900, FPS: 16.805249152249218
Episode: 81, steps: 8000, FPS: 16.87899937436593
Episode: 82, steps: 8100, FPS: 16.735772923817525
Episode: 83, steps: 8200, FPS: 16.88228734480141
Episode: 84, steps: 8300, FPS: 16.87196964974981
Episode: 85, steps: 8400, FPS: 16.700296748071004
Episode: 86, steps: 8500, FPS: 16.892748349294706
Episode: 87, steps: 8600, FPS: 16.917507361042723
Episode: 88, steps: 8700, FPS: 16.92581189215866
Episode: 89, steps: 8800, FPS: 16.880156206454746
Episode: 90, steps: 8900, FPS: 16.85061594836884
Episode: 91, steps: 9000, FPS: 16.972353704218534
Episode: 92, steps: 9100, FPS: 16.861704156362727
Episode: 93, steps: 9200, FPS: 16.87299513925961
Episode: 94, steps: 9300, FPS: 16.887122745201292
Episode: 95, steps: 9400, FPS: 16.924619042489983
Episode: 96, steps: 9500, FPS: 16.788034808015684
Episode: 97, steps: 9600, FPS: 16.720923768480656
Episode: 98, steps: 9700, FPS: 16.885830341979908
